Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
9/2/2000,Elizabethtown,,A,L,0,1,N
9/6/2000,ITHACA,Oswego N.Y.,H,L,0,4,N
9/9/2000,St.Lawrence,,A,L,1,7,N
9/13/2000,Hamilton,,A,W,1,0,N
9/16/2000,RPI,Oswego N.Y.,H,L,1,2,N
9/21/2000,CORTLAND,Oswego N.Y.,H,L,1,4,Y
9/23/2000,Nazareth,,A,W,2,1,N
9/26/2000,WELLS,Oswego N.Y.,H,W,6,0,N
9/29/2000,NEW PALTZ,Oswego N.Y.,H,W,2,0,Y
10/4/2000,Hartwick,,A,L,0,5,N
10/7/2000,Elmira,,A,L,1,2,N
10/10/2000,Geneseo,,A,L,1,2,Y
10/12/2000,UNIVERSITY OF ROCHESTER,Oswego N.Y.,H,W,2,1,N
10/14/2000,Union,,A,L,2,3,N
10/17/2000,BROCKPORT,Oswego N.Y.,H,W,4,1,Y
10/21/2000,Oneonta,,A,W,1,0,Y
10/25/2000,Skidmore,,A,L,2,7,N
